track_id,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5LgUfywU5AIOvSKrZgOKQL,"Symphony No. 24 in B Flat, K.182: 3. Allegro",Wolfgang Amadeus Mozart;The English Concert;Trevor Pinnock,Mozart - All Day Classics,8,87866,False,0.589,0.243,10,-16.728,1,0.0635,0.938,0.951,0.0875,0.672,110.947,4,classical
4PyzUtw3jAgOE9EpgVyqqq,16 Minuets K.176: No. 10 in B flat,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,Mozart - All Day Classics,19,56000,False,0.601,0.0928,10,-13.644,1,0.042,0.9,0.13,0.0596,0.786,70.549,4,classical
2aIBBFkTSaQDu0gKPCY9El,"Symphony No. 7 in D, K.45: 4. (Allegro)",Wolfgang Amadeus Mozart;Royal Philharmonic Orchestra;Erich Leinsdorf,Mozart - All Day Classics,7,89200,False,0.46,0.167,2,-17.742,1,0.0345,0.892,0.939,0.359,0.734,75.19,4,classical
5MyYYBkmYRgssDuE1FJfJD,"Flute Quartet in D major, K.285 - Arr. for accordion and strings Richard Galliano: 2a. Adagio - Pt. 1",Wolfgang Amadeus Mozart;Richard Galliano,Mozart - All Day Classics,17,50733,False,0.284,0.00746,0,-24.282,1,0.0483,0.971,0.913,0.0829,0.396,115.833,4,classical
4N9wT4gXdCIVIoyYrGQ5ms,"Contredanse in E flat, K.607 ""Il Trionfo delle Donne""",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,Mozart - All Day Classics,8,85000,False,0.636,0.203,3,-14.286,1,0.0412,0.964,0.326,0.171,0.717,118.5,4,classical
0RPOy0HWyY3bLm40pm3T8s,"Mozart: Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai",Wolfgang Amadeus Mozart;Daniel Barenboim;Berliner Philharmoniker,Mozart: Piano Concertos Nos. 20 & 22,24,417666,False,0.356,0.159,2,-20.231,0,0.0379,0.984,0.943,0.151,0.229,71.779,4,classical
3bURbpWSxXGl1R741ekg07,"Piano Sonata No. 3 in B-Flat Major, K. 281: II. Andante amoroso",Wolfgang Amadeus Mozart;Mao Fujita,Mozart: The Complete Piano Sonatas,16,313866,False,0.4,0.0334,3,-26.333,1,0.0502,0.993,0.938,0.11,0.367,94.362,3,classical
04iTE6hn0yvbWHJXkIfLyy,"Piano Concerto No. 18 in B-Flat Major, K. 456: II. Andante un poco sostenuto",Wolfgang Amadeus Mozart;Ingrid Haebler;Wiener Symphoniker;Christoph von Dohnányi,"Mozart: Piano Concertos Nos. 12, 18 & 19",7,693666,False,0.21,0.0975,7,-21.648,0,0.0342,0.973,0.879,0.5,0.0832,84.993,4,classical
5VOJiy4ZseTafrksLPCxim,"Piano Concerto No. 15 in B-Flat Major, K. 450: II. (Andante)",Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Sir Colin Davis,Mozart: Piano Concertos Nos. 14-21,5,362640,False,0.17,0.045,3,-26.573,1,0.0418,0.99,0.923,0.15,0.0788,56.768,4,classical
6T1t7fOMfVuVpWSe2Z4Pp9,"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": II. (Larghetto)",Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Sir Colin Davis,Mozart: Piano Concertos Nos. 26 & 27; Rondo in A Major,3,410066,False,0.302,0.019,9,-26.351,1,0.0361,0.992,0.915,0.17,0.194,70.075,4,classical
